"site","terr","bird","sex","age_class","doy","hour","predator_playback","effort_hr","effort_min","lat","lon","canopy","edge_dist","elev","temp_c","rain_mm_hr","flock_size","provisioning_visits","site_id","terr_id","bird_id"
"S1","T1","B1","F","HY",140,11,"0",1,60,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,31.0007963789304,0.188475535880268,4,0,"S1","T1","B1"
"S1","T1","B1","F","HY",71,6,"1",0.641050862832548,38,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,26.4794157459833,0.0242097652883774,6,1,"S1","T1","B1"
"S1","T1","B1","F","HY",66,6,"0",1,60,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,28.136696586059,0.0420759324138131,5,1,"S1","T1","B1"
"S1","T1","B1","F","HY",86,8,"0",0.818921537545005,49,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,27.1578816477023,0.0744346747634454,6,0,"S1","T1","B1"
"S1","T1","B1","F","HY",123,10,"0",0.924145040324097,55,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,31.1336656193945,0.454424635278316,4,0,"S1","T1","B1"
"S1","T1","B1","F","HY",63,7,"0",1,60,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,26.8519499063711,0.00247169302653046,6,1,"S1","T1","B1"
"S1","T1","B1","F","HY",64,8,"0",1,60,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,27.2678613346974,0.111924887484296,5,3,"S1","T1","B1"
"S1","T1","B1","F","HY",106,11,"0",0.724447750202789,43,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,28.6643123588478,0.138287096072922,5,3,"S1","T1","B1"
"S1","T1","B1","F","HY",141,11,"0",1,60,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,29.2755937781535,0.229189090449946,6,0,"S1","T1","B1"
"S1","T1","B1","F","HY",146,6,"1",1,60,9.14181869636784,-79.728190265578,0.392936351771883,428,109.202286877599,32.3751109182121,0.0139185828248367,5,0,"S1","T1","B1"
"S1","T2","B1","M","HY",111,8,"0",0.493263854575985,30,9.14125109863683,-79.7276004086604,0.642468135742695,57,109.202286877599,30.8431961868695,0.09463769573,6,1,"S1","T2","B1"
"S1","T2","B1","M","HY",113,6,"0",1,60,9.14125109863683,-79.7276004086604,0.642468135742695,57,109.202286877599,30.5278789414377,0.416663352584891,8,5,"S1","T2","B1"
"S1","T2","B1","M","HY",151,9,"0",1,60,9.14125109863683,-79.7276004086604,0.642468135742695,57,109.202286877599,30.4331024487477,0.12961096264281,7,1,"S1","T2","B1"
"S1","T2","B1","M","HY",119,6,"0",1,60,9.14125109863683,-79.7276004086604,0.642468135742695,57,109.202286877599,30.7778381307792,0.0936328638192725,7,2,"S1","T2","B1"
"S1","T2","B1","M","HY",80,10,"0",1,60,9.14125109863683,-79.7276004086604,0.642468135742695,57,109.202286877599,29.1514103098159,0.0768737342266439,8,0,"S1","T2","B1"
"S1","T2","B1","M","HY",136,6,"0",0.729273981384075,44,9.14125109863683,-79.7276004086604,0.642468135742695,57,109.202286877599,32.1662308097565,0.773399713806558,5,1,"S1","T2","B1"
